,file,unique_albums
148,regional-us-weekly-2017-09-08--2017-09-15.csv,142
149,regional-us-weekly-2017-09-15--2017-09-22.csv,44
150,regional-us-weekly-2017-09-15--2017-09-22.csv,80
151,regional-us-weekly-2017-09-15--2017-09-22.csv,112
152,regional-us-weekly-2017-09-15--2017-09-22.csv,146
153,regional-us-weekly-2017-09-22--2017-09-29.csv,42
154,regional-us-weekly-2017-09-22--2017-09-29.csv,80
155,regional-us-weekly-2017-09-22--2017-09-29.csv,112
156,regional-us-weekly-2017-09-22--2017-09-29.csv,147
157,regional-us-weekly-2017-09-29--2017-10-06.csv,43
158,regional-us-weekly-2017-09-29--2017-10-06.csv,78
159,regional-us-weekly-2017-09-29--2017-10-06.csv,110
160,regional-us-weekly-2017-09-29--2017-10-06.csv,146
161,regional-us-weekly-2017-10-06--2017-10-13.csv,43
162,regional-us-weekly-2017-10-06--2017-10-13.csv,79
163,regional-us-weekly-2017-10-06--2017-10-13.csv,110
164,regional-us-weekly-2017-10-06--2017-10-13.csv,143
165,regional-us-weekly-2017-10-13--2017-10-20.csv,43
166,regional-us-weekly-2017-10-13--2017-10-20.csv,79
167,regional-us-weekly-2017-10-13--2017-10-20.csv,111
168,regional-us-weekly-2017-10-13--2017-10-20.csv,143
169,regional-us-weekly-2017-10-20--2017-10-27.csv,42
170,regional-us-weekly-2017-10-20--2017-10-27.csv,78
171,regional-us-weekly-2017-10-20--2017-10-27.csv,109
172,regional-us-weekly-2017-10-20--2017-10-27.csv,140
173,regional-us-weekly-2017-10-27--2017-11-03.csv,43
174,regional-us-weekly-2017-10-27--2017-11-03.csv,78
175,regional-us-weekly-2017-10-27--2017-11-03.csv,110
176,regional-us-weekly-2017-10-27--2017-11-03.csv,142
177,regional-us-weekly-2017-11-03--2017-11-10.csv,41
178,regional-us-weekly-2017-11-03--2017-11-10.csv,72
179,regional-us-weekly-2017-11-03--2017-11-10.csv,102
180,regional-us-weekly-2017-11-03--2017-11-10.csv,134
181,regional-us-weekly-2017-11-10--2017-11-17.csv,42
182,regional-us-weekly-2017-11-10--2017-11-17.csv,80
183,regional-us-weekly-2017-11-10--2017-11-17.csv,114
184,regional-us-weekly-2017-11-10--2017-11-17.csv,146
185,regional-us-weekly-2017-11-17--2017-11-24.csv,44
186,regional-us-weekly-2017-11-17--2017-11-24.csv,80
187,regional-us-weekly-2017-11-17--2017-11-24.csv,118
188,regional-us-weekly-2017-11-17--2017-11-24.csv,153
189,regional-us-weekly-2017-11-24--2017-12-01.csv,44
190,regional-us-weekly-2017-11-24--2017-12-01.csv,83
191,regional-us-weekly-2017-11-24--2017-12-01.csv,123
192,regional-us-weekly-2017-11-24--2017-12-01.csv,161
193,regional-us-weekly-2017-12-01--2017-12-08.csv,44
194,regional-us-weekly-2017-12-01--2017-12-08.csv,80
195,regional-us-weekly-2017-12-01--2017-12-08.csv,119
196,regional-us-weekly-2017-12-01--2017-12-08.csv,150
197,regional-us-weekly-2017-12-08--2017-12-15.csv,44
198,regional-us-weekly-2017-12-08--2017-12-15.csv,84
199,regional-us-weekly-2017-12-08--2017-12-15.csv,123
200,regional-us-weekly-2017-12-08--2017-12-15.csv,155
201,regional-us-weekly-2017-12-15--2017-12-22.csv,44
202,regional-us-weekly-2017-12-15--2017-12-22.csv,78
203,regional-us-weekly-2017-12-15--2017-12-22.csv,114
204,regional-us-weekly-2017-12-15--2017-12-22.csv,145
205,regional-us-weekly-2017-12-22--2017-12-29.csv,43
206,regional-us-weekly-2017-12-22--2017-12-29.csv,76
207,regional-us-weekly-2017-12-22--2017-12-29.csv,113
208,regional-us-weekly-2017-12-22--2017-12-29.csv,150
209,regional-us-weekly-2017-12-29--2018-01-05.csv,44
210,regional-us-weekly-2017-12-29--2018-01-05.csv,80
211,regional-us-weekly-2017-12-29--2018-01-05.csv,115
212,regional-us-weekly-2017-12-29--2018-01-05.csv,150
213,regional-us-weekly-2018-01-05--2018-01-12.csv,45
214,regional-us-weekly-2018-01-05--2018-01-12.csv,80
